Text,Category
"however few authors offer an 
alternative interpretation from the patient’s perspective",Big data
"big data 
allows patients to be proactive in tailoring their lifestyle towards a 
better healthcare management as patients are equipped with 
information on their health status by using sensor technologies while 
doctors monitor in virtual",Big data
"this transforms healthcare quality through 
big data value area authors 
accountant  
process improvement selfservice data retrieval hathaway  and vasarhelyi kogan  tuttle  
predicting risk management chan  and mittermayer  
managerial accounting warren moffitt and byrnes  
transforming or revolutionizing profession integrated and standardized reporting association of chartered certified accountants  and hathaway  
live auditing digital news asia  
new opportunities creation data value validation association of chartered certified accountants  
new data source integration basoglu  hess  cao et al  elkins derrick burgoon  
nunamaker  girshick donahue darrell  malik  holton 
 mayew  venkatachalam  metaxas  zhang  radhakrish
nan divakaran  smaragdis  torpey walden  sherrod  and 
torralba fergus  w  
doctor  
process improvement patientdisease profiling groves kayyali knott  van kuiken  knowledgent  murdoch 
 detsky  and manyika et al  healthcare standardization 
creating better services ubiquitous healthcare groves et al  and ibm  
personalized healthcare chawla  davis  ibm  b knowledgent  manyika et 
al  murdoch  detsky  savage  and zenger  
transforming 
revolutionizing profession 
proactive healthcare groves et al  ibm  b knowledgent  murdoch  
detsky  savage  and zenger  
new opportunities creation data extension to pharmacy sector and medical 
claim 
raghupathi  raghupathi  
table   generic big data value from accounting and medical doctor professional 
  
 
patient empowerment groves et al a ibm   
knowledgent  murdoch  detsky  savage  zenger 
",Big data
"with regards to creating new opportunities research on big data has 
shown that professions are likely to form new roles providing a 
significant differentiation towards the conventional services and 
practices",Big data
"one noticeable new role for the accounting profession that 
would create a new revenue stream as well as skill expansion is data 
valuation",Big data
"research on data valuation practice becomes relevant as 
more companies are appreciating data as an asset and compete based on 
data association of chartered certified accountants ",Big data
"in  
 companies are incorporating data as an asset in their balance sheet 
and data valuation service becomes more relevant for big corporations 
dynamic markets ",Big data
"hence data valuation service is relevant to 
the current as well as future market and most importantly the numbers 
show that there is a potentially large demand and optimistically an 
unsaturated market",Big data
"however raghupathi  raghupathi  raised 
a significant supposition where big data enables doctors to share 
patient’s health details to improve research and development of new 
drug",Big data
"the integration of healthcare data and research data from 
pharmacist reduces trail failure increases treatment match and adverse 
effect detection",Big data
"another aspect on new opportunities being brought 
forward through integration of real time data and patients healthcare 
record enabling health insurers to have a better overview in 
understanding and resolving claim as well as minimizing fraud claim 
raghupathi  raghupathi ",Big data
"the advancement of big data does 
not only create new opportunities but creates a valueadded chain for 
medical profession such as pharmacist and medical insurer",Big data
"through 
data integration and analytics the process of drug development by 
pharmacist and health insurer is further revamped enabling speedy and 
safe drugs development as well as delivering right value to patients 
while improving transparency",Big data
"this section concludes by offering four common opportunities of big 
data for professionals which are process improvement offering better 
services transforming or revolutionizing the profession and creating 
new opportunities",Big data
"while detailed research by comuzzi  patel 
 du li  zhang  and new vantage partners  on 
big data from organizational context argues that decision making being 
the biggest impact of big data this section expands the context of big 
data value in generic without any emphasis of criticality on any  
 the big data value for quantity surveying 
profession 
while findings generic big data value from the profession context value 
were addressed in the previous section this section implies findings on 
big data value in specific to qs profession perspective",Big data
"descriptive and 
pattern coding analysis indicates four consistent dominant codes 
describing big data value from the understanding of delivering 
comprehensive insights data driven decision making productivity 
improvement and data commercialization",Big data
"figure  represent word 
cloud visualization on the dominant codes’ findings  
 comprehensive insights 
analysis on exploring the value of big data for qs profession avulse 
descriptive codes describing value derived upon insights 
comprehensiveness",Big data
"based on second layer coding analysis findings 
indicate a consistent pattern in the codes",Big data
"these codes were recoded 
based upon the understanding of ‘data centralization’ ‘true reflection’ 
and ‘visualization’",Big data
"analysis of ‘data centralization’ code describes the big data as a 
technology with allows qs professionals to access large volume of data",Big data
"big data is viewed as a system which hosts large volume of data 
accessed on a single platform and can be accessed virtually across time 
and geographical expansion",Big data
"codes analysis indicates several big data 
characteristics based on interviewee’s perspective such as platform 
hosting large volume of different data forms and sources",Big data
"the list 
below indicates current available data types in the construction 
industry",Big data
"• bill of quantities boq 
• operational cost 
• maintenance cost 
• construction project data project type project detail 
contractor data 
• procurement data 
• construction waste data 
• building information modelling data 
• sensor data 
• land cost 
• advertisement cost 
• authority requirement and policy 
• construction index 
• productivity data 
detail analysis on ‘data centralization’ code elucidate several issues in 
the construction industry",Big data
"the construction industry is known as a silo 
practiced industry",Big data
"as an effect to this construction stakeholders across 
construction industry do not confront towards data sharing",Big data
"‘private 
and confidential’ invivo codes consistently recognized across 
transcribes",Big data
"most construction organizations react negatively to ‘data 
sharing’ culture and shy upon the idea of data privacy and 
confidentiality",Big data
"while this conjures towards the understanding of data 
as a valuable commodity among construction stakeholders most 
quantity surveyors result towards capitalizing personal relationship to 
access data",Big data
"reflecting to this issue big data value is seen to derived 
upon data centralization benefit to quantity surveyors",Big data
"codes analysis 
further emphasize on alternative for data access whereby big data 
facilitate qs professionals to access data which were previously hard or 
seems impossible to access",Big data
"from the perspective of work process data 
centralization allows accessibility across time and geographical 
horizons",Big data
"hence analysis indicates that qs professionals are facilitated 
by early data access in addressing construction projects",Big data
"for instance a 
figure   dominant codes for big data value from qs profession context 
  
 
respondent interviewed code q mentioned on current estimating and 
project financial planning pursuance is limited up to delivery of 
construction building",Big data
"estimates rarely incorporate costings on building 
facilities management costs reason being limited data access",Big data
"however 
with big data data across construction life cycle can be accessed in a 
centralized platform hence enabling access on data of latter project 
stage",Big data
"in short delivering more comprehensive insights as well as better 
service value to construction stakeholders",Big data
"next detail analysis on ‘data centralization’ codes in emphasised 
consistent interpretation of national data standard",Big data
"big data enables qs 
professionals to have a national data standard",Big data
"a respondent code b 
had highlighted on the issues of inconsistent and data misinterpretation 
across construction stakeholders even within qs professionals",Big data
"based 
on the respondent’s experience as an academic as well as an industry 
practitioner the respondent observed differences on simple 
interpretation such as gross floor area gfa",Big data
"respondent b had further 
indicated that the value of big data can be understood through data 
centralization and standardization of data context managed throughout 
data processing stage",Big data
"this allows qs professionals as well as 
construction stakeholders to have a universal understanding 
encouraging smooth communication between those parties",Big data
"next detail analysis on ‘true reflection’ pattern coding interprets the 
understanding of big data allowing qs professionals to access data that 
are trustworthy free from perspective bias representing current 
industry context authenticity",Big data
"respondents were seen to describe this 
value in relation to the issue of current data access are of clouded 
genuinely",Big data
"with an experience working with a contractor and 
consulting firms respondent f had noticed bias between a quotation 
submitted to contractor and consultants by suppliers over the same 
materials or work items",Big data
"thus data received by qs professions 
perhaps depends on sector position influence and were not the true 
reflection of industry context",Big data
"however big data is supported by strict 
data processing and management ethics",Big data
"data management process 
allows standardization on data as mentioned above while data filtering 
process allow data context to address any ‘off’ data or data that do not 
conferred to the current data accumulation value or understanding",Big data
this allow insights generation to be free or with minimal bias,Big data
"other 
interviewees postulate similar respond where bias in data tempers qs 
professional’s capability to address comprehensive advice during 
tendering stage",Big data
"thus this implies that the value of big data to qs 
professionals can be further understood through improvement on 
analysis capability such as accessing contractor’s tendering strategy",Big data
"moreover genuine data helps constitute towards setting ‘par’ data 
values on construction resources believed to channel healthy 
competition culture in the construction industry",Big data
"findings on ‘visualization’ consistent codes addressed that the value of 
big data is rooted upon big data technological features",Big data
"albeit all 
interviewees described on the importance of technological element 
within the context of big data pursuance only those with deep big data 
knowledge such as interviewees with exposure on technological and 
statistical knowledge mentioned on data visualization value",Big data
"for 
instance taking from big data initiative mentioned by respondent q 
pcepremo system provides data interpretation in the form of 
comparison take and percentage differences",Big data
"this allows fast and better 
comprehensibility of insights context",Big data
"respondent h further describe 
graphical presentation on insights on system interface or big data 
dashboard allows simplification on data representation",Big data
"pattern coding facilitates researcher capability to analyse data according 
to framework analysis especially during charting and mapping stage",Big data
"‘data centralization’ ‘true reflection’ and ‘visualization’ codes expand 
and increase deep contextual understanding on our early findings based 
on descriptive coding strategy",Big data
"this research ratifies the value of big 
data to qs profession in delivering comprehensive insights",Big data
"pattern 
coding interprets comprehensive insights value driven through the 
capability of qs professionals to access large and variety data across 
time and geographical horizons in genuine context with universal 
interpretation across construction stakeholders and simple yet engaging 
data insights representation  
 data driven decision making 
initial scoping on the value of big data for qs profession indicate 
consistent findings on codes describing analytical decision making 
driven by solid data basis",Big data
"codes were further addressed with ‘data 
driven decision making’",Big data
"analysis indicates that this value is 
consistently described along with ‘guesstimate’ issue highlighted by 
interviewees",Big data
"currently qs professionals are reported to practice 
‘guesstimate’ or several other terms such as rule of thumb’ ‘magic 
wand’ and ‘experience’ to manage or predict uncertainty as part of 
decisionmaking process prior to delivering services",Big data
"these terms 
express the understanding of qs professional practicing gutfeeling 
decision making",Big data
"consistently respondent d h m and f argue the 
need for this profession to skew away from ‘guesstimate’ as decisions 
are made based on personal opinion secluded upon grey areas of 
decisionmaking process",Big data
"‘guesstimate’ decision making implies risks 
towards service output such as advice to clients as decisions are derived 
based on dubious basis and desultory understanding",Big data
"the context of big data managing uncertainty further expanded with 
perspective of respondent i q b n and g the respondent’s 
understanding on uncertainty resides on ‘variables’ that differs 
according to project peculiarity constantly changing and are not within 
qs’s control during the process of decision making in completing job 
scope",Big data
"they highlight on ‘variables’ or also known as factors which 
are known as ‘constants’ in big data analysis process",Big data
"while previously 
most qs practice guesstimate respondent h excerpt indicates 
‘variables’ function in big data system helps qs professionals to have 
analytical computational degree of uncertainty leading them to better 
manage uncertainty areas which are prone to guesstimates practice 
thus reducing qs professionals favouring guesstimates practice",Big data
"consistent pattern code on ‘integrative system’ were found as part of 
respondent’s discussion on ‘data driven decision making’ context",Big data
"this 
can be further understood by respondent’s discussion on two big data 
initiative pcepremo and construction cost modelling ccm",Big data
"detail analysis on indicates both initiatives indicates three dominant 
components big data initiative function in figure ",Big data
"figure   big data dominant components  
  
 
data search describe the process of qs searching for similar cost data 
through data mining process while analysis process describes adjustment 
on cost data to suit current project needs",Big data
"insights generated is the auto 
generated output on which instantly support qs professional decision 
making",Big data
"it is viewed that this process connotes the idea of data driven 
decision making as stage of work process is supplemented by analytical 
form of analysis",Big data
"further supported by respondent f and c discussing 
on the properties of data management which secures ensure data quality 
and reliability",Big data
"moreover data analysis process is conducted through 
standardized methodology",Big data
"this implies that each of the three big data 
process in producing are corroborated with credible data and process 
clarity connoting the idea of data driven decision making at each layer",Big data
thus the increase the quality of decision making by qs professionals,Big data
"data driven decision making supports the ability to replace experience 
based and subjective judgment to soothe human errors in work scope 
and move towards data driven analytical approach decision making",Big data
"this further implies that big data offer qs professionals with tangible 
and analytical path in making job scope decision 
 productivity 
analysis of descriptive data in identifying thematic framework indicates 
an emerging understanding of productivity improvement in qs 
professional services",Big data
"transcribed data are coded with ‘productivity’ 
code describing two consistent and dominant patterns on the 
understanding of prompt and easy data reference and automation",Big data
"both 
patterns further conjure towards process and time improvement",Big data
"findings on prompt an easy insights generation centres around the 
terms ‘click’ ‘drag’ ‘click and drag’ ‘automization’ ‘easy’ and 
‘simple’ mentioned by respondent e p i d and q emphasis on the 
terms reflects towards the significance of technology features of big 
data",Big data
"big data technological features allow simple maneuver on big data 
systems for qs professionals",Big data
"extending to the findings of three 
dominant components of big data initiative mentioned above data 
indicates second layer of interpretation related to process and time 
improvement",Big data
"while previously findings were discussed along the line 
of facilitating data driven decision making the same understanding 
paved interviewee’s perspective on productivity",Big data
"through big data data search process is simplified as qs professionals 
can access a single platform encompass variety of data",Big data
"upon data 
access qs professionals can then straight away analyze the available 
data according to project or client’s needs in the same platform",Big data
"duplication such as data extraction from big data platform to normal 
excel sheets prior to manual analysis can be eradicated",Big data
"adjustment on 
data according to qs professional’s peculiarity can be done while each 
of analysis steps can be traced",Big data
"finally big data allows automated 
insights generation whereby final output can be access instantly for 
each adjustment made during data analysis",Big data
"in short insights generated 
are the reflection of data adjustment and analysis",Big data
"most importantly 
these findings evoke upon process facilitation leading towards time 
savings throughout overall process",Big data
"respondent c further connotes technological features bolstering clarity 
on data analysis process",Big data
"respondent c discussed on the common issue 
faced in a consultancy practice whereby not only that normal 
estimating practice requires long duration of  to  weeks lengthy time 
were taken by superiors or subordinates to check on work done 
supporting qs services",Big data
"this is because superiors or subordinates needs 
to understand on how decision or conclusions were made",Big data
"with big 
data estimating process time can be reduced up to  whereby qs 
professionals in public works department malaysia can now generate 
estimate within  to  days with big data initiative",Big data
"similar to findings on visualization analysis on ‘automation’ codes 
were discussed by respondents which are more familiar with big data 
and statistics with better technology knowledge",Big data
"respondent q h and 
j describes big data as an intelligent and selfregulating system",Big data
"findings 
further indicates a correlation on ‘automation’ codes to ‘bim’ codes 
whereby respondents suggest on bim maximization allows automated 
data sourcing for big data initiatives",Big data
"from a second point of view this 
implies bim as a foundational pursuance prior to big data",Big data
"besides the 
understanding of automated data sourcing respondent q and h gives 
emphasis towards the overall big data context advanced big data 
initiative founded by system intelligence through the application of 
advance statistical based technology increases the insights value in terms 
of accuracy reliability",Big data
"for instance both respondents described 
machine learning and artificial intelligence as forms of advanced 
statistical based technology allowing the system to selfregulate and 
improve its intelligence capacity",Big data
"respondent h explicitly described 
that the accuracy and reliability of insights generation of any big data 
initiative depends on the quality accuracy and reliability of data 
supporting big data analysis process",Big data
"data supporting big data analysis 
are known as factors or variable which are adjusted by qs professionals 
during data analysis process to reflect project or client’s needs",Big data
"to 
achieve such quality accuracy and reliability of data supporting big data 
analysis constant updates were needed to ensure data capture are 
robust and are the true industry reflection",Big data
"all other respondents however highlighted on the paucity on current 
big data pursuance",Big data
"current big data pursuance such as construction 
cost modelling tender price index and life cycle costing were not 
planned with the application of advanced statistical technology except 
for pcepremo",Big data
"artificial intelligence adopted in pcepremo 
allows this system to access large data from different system changing 
the analytical computation structure of origin system to cater towards 
analysis needs in pcepremo",Big data
"for instance change of concrete price 
is pcepremo is dependent on the price fluctuation of sand crusher 
run and cement",Big data
"should qs professional changes the quantity of 
concrete needed in pcepremo by  data is automatically linked 
to another system which will compute cost difference based on the 
suitable mixing constant incorporating price fluctuation of sand 
crusher run and cement",Big data
"this form of extensive and large data analysis 
requires advanced statistical technology adaptation such as artificial 
intelligence",Big data
"however in relation to current big data initiative 
pursuance none of the big data initiative mentioned embodies 
automated selfregulating and intelligent system properties",Big data
"this 
implies an adaptation paucity on advanced statistical technology of big 
data",Big data
"with big data maintenance of big data initiative does not require 
technical experts as systems are governed automatically",Big data
"findings indicate understanding on productivity value to qs 
professionals entails further clarity on data driven decision making 
context whereby analogical understanding on data driven decision 
making core process instigate understanding on productivity value",Big data
"hence productivity can be understood from the understanding of 
improvement on work process specifically on time context",Big data
"despite 
issues on technological paucity limiting the capability of qs profession 
to maximize productivity value on work process respondent’s 
perspective which recognized the potential of bim and advanced 
statistical technology implementation to improve productivity big data 
value reflects towards positive big data growth for qs profession in the 
near future  
 data commercialisation 
further analysis based on the understanding of data silo confidentiality 
  
 
and accessibility issue as well as nondata sharing culture",Big data
